sample,aminoglycoside,aminoglycoside:aminocoumarin,antibacterial_free_fatty_acids,bacitracin,beta-lactam,bicyclomycin,diaminopyrimidine,fluoroquinolone,"fluoroquinolone,multidrug","fluoroquinolone/fluoroquinolone,multidrug",fluoroquinolone/multidrug,"fluoroquinolone/multidrug/fluoroquinolone,multidrug",fosfomycin,fosmidomycin,fusidic-acid,glycopeptide,MLS,multidrug,"multidrug/fluoroquinolone,multidrug",mupirocin,nitroimidazole,nucleoside,oxazolidinone,peptide,"peptide,polymyxin","peptide/peptide,polymyxin",peptide/polymyxin,"peptide/polymyxin/peptide,polymyxin",phenicol,pleuromutilin,polymyxin,polymyxin/peptide,"polymyxin/peptide,polymyxin","polymyxin/peptide/peptide,polymyxin",rifamycin,sulfonamide,tetracenomycin_C,tetracycline,triclosan,unclassified
A01,0.0326599812496,1.94792397995e-4,0,0.0985579965143,0.0448159740275,0,0.00399449282812,0.00130655762061,0,0,0,0,0,0.0219293480836,0,7.6741487831e-4,0.0350621722231,0.732366233012,5.63418518253e-4,1.08667145854e-4,0.00340326082632,0,0,0.00406856151206,0,0,0,0,7.71213961866e-4,2.7475347495e-4,0,0,7.73211063191e-4,0,0.0162032246675,0.00448246216907,0,0.00337362335257,8.7727302479e-4,0.0147609902614
A02,0.052066401727099997,2.01092859648e-4,0,0.0826421675786,0.041750864849,0,0.00648008849649,0.00166354166526,0,0,0,0,5.22155891246e-4,0.0169229450802,0,7.70968430027e-4,0.0842411504543,0.743962217469,2.90821002719e-4,0,0.00406599742118,1.32039420775e-4,0,0.00658244580092,5.899888318e-4,0,0,0,0.00164451623853,2.12730177915e-4,0,0,0,0,0.0245871300369,0.00860542429954,0,0.0044376867432,6.7905987827e-5,0.0253710101759
A03,0.0202396231297,0,0,0.0761941082991,0.0136119000344,0,0.00227140489341,0.00122839417397,0,0,0,0,6.41337852257e-4,0.0102418526528,0,9.45203166536e-5,0.0218455705925,0.565622011739,3.19654151046e-4,2.11378442516e-5,0.00282651476124,0,0,0.00344264765757,0,0,0,8.50111730145e-4,8.03656652736e-4,1.33612052554e-4,0,0,0,0,0.00360752541895,0.00114726956786,0,0.00156094849858,2.34578007537e-4,0.0200516443532
A05,0.0183668897064,3.40694318526e-4,5.10817925086e-5,0.0560814463395,0.0156970033568,0,0.00399223855298,6.60164692225e-4,0,0,0,0,0,0.00829119787284,0,3.39950444468e-4,0.0210534089728,0.395616832746,2.7372943665e-4,1.01365432009e-4,0.00236310340464,0,0,0.00332078343987,0,0,0,0,7.64828859624e-4,1.20136808307e-4,0,0,0,0.00078397433819900005,0.00397893109114,0.00210897407657,0,7.0451268582e-4,2.15348967588e-4,0.01019023448
A06,0.0377333929402,5.43393603096e-5,0,0.118343762079,0.0309985439085,0,0.006049085456,0.00208967273864,0,0,0,0,0.00112877671189,0.0243485396096,0,9.75972877526e-4,0.0638997743485,0.989838160823,0,7.27531865083e-5,0.0052482298666,0,0,0.00432597670699,0,0,0,8.25268774249e-4,5.53212348895e-4,1.91613330721e-4,0,0,0,0,0.00980253460322,0.00394872418646,0,0.00194293106398,8.24334860133e-4,0.0304700462104
A07,0.0291954599626,1.77586553107e-4,0,0.10482043044600001,0.0208052106042,0,0.00749142044028,0.00215995292538,0,0,0,0,6.01163368664e-4,0.0213779558905,0,1.08935643986e-4,0.0340408757506,0.802600557433,0,1.58509872597e-5,0.00370923996026,0,0,0.00391690355744,0,0,0,9.07193663589e-4,6.02651396805e-4,1.7533931586e-4,0,0,0,0,0.00797332467913,0.00103238656244,0,8.50216764254e-4,6.73502529209e-4,0.0265002627819
A08,0.0895204754279,1.069738909e-4,5.0924029314e-4,0.181043318282,0.0781260639373,0,0.00168130128529,0.00191338818558,0,0,0,0,0.00108637929203,0.0710651039325,0,0.00120303747104,0.108876693883,1.56009784122,1.5470591184e-4,4.77412774819e-5,0.0093238222744,0,0,0.0138257327646,8.49246652004e-4,0,0,0,0.00350922023788,5.28101044738e-4,0,0,0,0,0.029375124278,0.0127831909628,0,0.00836697987751,5.57839989166e-4,0.0370394368317
A09,0.0392071341499,2.30442419944e-4,1.82833656101e-4,0.178670674393,0.0400008242392,0,0.00900104153113,0.0023356910118,0,0,0,0,0.00130015044339,0.0486747786116,0,3.06585694074e-4,0.0570441007036,1.35019768183,0,6.85626210379e-5,0.00530783067609,0,0,0.00940866725666,0,0,0,0,9.60742748691e-4,8.12594027116e-5,0,0,0,9.01463827061e-4,0.0074888665539,0.0017365967053,0,0.00360481809975,4.3698002454e-4,0.0503947883516
A10,0.074552841875,1.58670565225e-4,4.75803466587e-5,0.168753023779,0.0562126415515,0,0.00223803852802,0.00231774948929,0,0,0,0,0.00143234465793,0.0626083090268,0,1.081468282e-4,0.0785330178865,1.47707009104,3.56952980419e-4,0,0.00660336728577,0,0,0.0125992054361,0,0,0,0,0.00173503382915,5.59509632005e-4,0,0,6.57212522428e-4,0,0.0218385443734,0.00965124459221,0,0.00697348728633,6.66781133866e-4,0.0332965323863
A11,0.0380132566853,1.84977890007e-4,1.1007147882e-4,0.132685724622,0.0306074622483,0,0.00568984875129,0.00177837598656,0,0,0,0,1.60103969192e-4,0.0334015929483,0,2.76861012227e-4,0.0557478067542,1.15512485815,0,0,0.00530158710356,0,0,0.00438412358192,0,0,0,0,0.00183089192492,2.28296400515e-4,0,0,0,6.0655703132e-4,0.0114937796831,0.00418193830483,0,0.00268692822625,0.00157845240996,0.0390260791653
A12,0.0305848048876,1.37879289907e-4,4.10226793539e-5,0.149852692089,0.0499197912182,0,0.00504894515125,0.00160301538422,0,0,0,0,2.36882840179e-4,0.0446454822174,0,1.35799214413e-4,0.0425906573203,1.14815138611,2.65868504167e-4,6.15340190309e-5,0.00452010718489,2.71598428826e-4,0,0.00821120869108,0,0,0,0,0.00152068229209,1.45858415481e-4,0,0,7.61460247584e-4,0,0.0117454408255,0.00128025549136,0,0.00300418408804,7.84367246734e-4,0.0300587403984
A13,0.0858912264391,1.9734308044e-4,7.04576466884e-4,0.179380522909,0.0856403414135,0,0.00278351196794,0.00300030996465,0,0,0,0,0.00133608574461,0.0631300514328,0,6.56374001172e-4,0.108835317946,1.58893118174,3.80530750047e-4,1.17429411147e-4,0.00795453110837,0,0,0.0160589603592,0,0,0,0,0.00253153088452,8.81445456513e-4,0,0,0.00113526923164,0,0.0271612167819,0.0112599452328,0,0.00742360600152,0.0010602755131,0.0400314466082
A14,0.0458478933021,2.10201865718e-4,0,0.157288743322,0.024335770667,0,0.00800518771942,0.00234985940883,0,0,0,0,3.61136288094e-4,0.0316302539157,0,2.09742909679e-4,0.0515889875251,1.19593291271,0,4.69053967935e-5,0.00478660708996,0,0,0.00730370219761,0,0,0,0,5.9444463263e-4,7.41221085131e-5,6.52991143276e-4,0,0,0,0.0088478390583,0.00254581941607,0,0.00176153274999,0.00149474459491,0.0392090827073
A15,0.0180640504537,1.96314833334e-4,5.84087752822e-5,0.184443358957,0.0310614254037,0,0.0097767303857,0.00302856929526,0,0,0,0,5.05916609963e-4,0.0421774040126,0,1.8536338602e-4,0.0565916133845,1.34731214529,0,4.38065814616e-5,0.00447037884222,0,0,0.00889778140167,0,5.08209283422e-4,0,0,0.0013221287407,3.11513468172e-4,0,0,0,0,0.00628011151834,0.00158508619847,0,0.00153547958884,2.65170085222e-4,0.0398228645842
A16,0.0500445578291,5.4753345546e-5,6.51621846733e-5,0.185146532628,0.0369751785535,0,0.00769916274293,0.00249733116368,0,0,0,0,0.00111210128509,0.0490680786519,0,8.74140748106e-4,0.0549940195924,1.34988609934,0,0,0.00494426473397,0,0,0.00855660184693,7.93758092455e-4,0,0,0,0.00136259934683,7.72292559091e-5,0,0,0,0,0.0182179749992,0.00424406144133,0,0.00379310829511,7.78701625971e-4,0.0435970994585
A17,0.0932440878085,0,4.07731075811e-4,0.173692158135,0.062307965217899997,0,0.00284670423839,0.0028888835296,0,0,0,0,8.40863228311e-4,0.02656758642,0,0.00310235265354,0.118517621145,0.850709233634,0,6.55282086125e-5,0.0126438667633,0,0,0.0196796189493,8.78460738218e-4,0,0,0,0.0013287304083,3.79686081179e-4,0,0,0,0,0.0262909902719,0.0201539762461,0,0.00727336412988,7.42471763422e-4,0.0677869887442
A18,0.0996747438925,0,2.03687772816e-4,0.167534312305,0.066053634863,0,0.00560465718833,0.0040944829792,0,0,0,0,9.8473513189e-4,0.0273756366665,0,0.00370852220852,0.13377815479,0.881713881809,3.71278978298e-4,1.14574372209e-4,0.0141111529209,0,0,0.0170159350395,0,0,0,0,0.00102915927318,1.50879831716e-4,0,0,5.31680470433e-4,0,0.0245282960107,0.0208668406696,0,0.0284257602953,5.6795926694e-4,0.0542869768208
